dist_along,Y,RefDir_dx,RefDir_dy,Axis_dy,Axis_dz
0.000000,0.000000,1.000000,0.000000,0.000000,1.000000
3.280833,0.000052,1.000000,0.000032,0.000021,1.000000
6.561667,0.000210,1.000000,0.000064,0.000085,1.000000
9.842500,0.000472,1.000000,0.000096,0.000192,1.000000
13.123333,0.000840,1.000000,0.000128,0.000341,1.000000
16.404167,0.001312,1.000000,0.000160,0.000534,1.000000
19.685000,0.001890,1.000000,0.000192,0.000768,1.000000
22.965833,0.002572,1.000000,0.000224,0.001046,0.999999
26.246667,0.003360,1.000000,0.000256,0.001366,0.999999
29.527500,0.004252,1.000000,0.000288,0.001729,0.999999
32.808333,0.005249,1.000000,0.000320,0.002134,0.999998
36.089167,0.006352,1.000000,0.000352,0.002583,0.999997
39.370000,0.007559,1.000000,0.000384,0.003073,0.999995
42.650833,0.008871,1.000000,0.000416,0.003607,0.999993
45.931667,0.010289,1.000000,0.000448,0.004183,0.999991
49.212500,0.011811,1.000000,0.000480,0.004802,0.999988
52.493333,0.013438,1.000000,0.000512,0.005464,0.999985
55.774167,0.015171,1.000000,0.000544,0.006168,0.999981
59.055000,0.017008,1.000000,0.000576,0.006915,0.999976
62.335833,0.018950,1.000000,0.000608,0.007705,0.999970
65.616667,0.020997,1.000000,0.000640,0.008537,0.999964
68.897500,0.023150,1.000000,0.000672,0.009412,0.999956
72.178333,0.025407,1.000000,0.000704,0.010330,0.999947
75.459167,0.027769,1.000000,0.000736,0.011290,0.999936
78.740000,0.030236,1.000000,0.000768,0.012294,0.999924
82.020833,0.032808,1.000000,0.000800,0.013339,0.999911
85.301667,0.035485,1.000000,0.000832,0.014428,0.999896
88.582500,0.038268,1.000000,0.000864,0.015559,0.999879
91.863333,0.041155,1.000000,0.000896,0.016732,0.999860
95.144167,0.044147,1.000000,0.000928,0.017949,0.999839
98.425000,0.047244,1.000000,0.000960,0.019208,0.999816
101.705833,0.050446,1.000000,0.000992,0.020510,0.999790
104.986667,0.053753,0.999999,0.001024,0.021854,0.999761
108.267500,0.057165,0.999999,0.001056,0.023241,0.999730
111.548333,0.060682,0.999999,0.001088,0.024671,0.999696
114.829167,0.064304,0.999999,0.001120,0.026143,0.999658
118.110000,0.068031,0.999999,0.001152,0.027658,0.999617
121.390833,0.071863,0.999999,0.001184,0.029215,0.999573
124.671667,0.075800,0.999999,0.001216,0.030815,0.999525
127.952500,0.079842,0.999999,0.001248,0.032458,0.999473
131.233333,0.083989,0.999999,0.001280,0.034143,0.999417
134.514167,0.088241,0.999999,0.001312,0.035871,0.999356
137.795000,0.092598,0.999999,0.001344,0.037641,0.999291
